code,name,program
SC140P,Pre-Mathematics and Sciences,Common Studies
CE381,Hydraulics,Civil Engineering
CE802,Advanced Researches in Civil Engineering I,Civil Engineering
CE805,Special Concrete Technology,Civil Engineering
CE804,Advanced Structural Dynamics,Civil Engineering
CE806,Advanced Soil Mechanics,Civil Engineering
CE803,Advanced Researches in Civil Engineering II,Civil Engineering
IT002,Computer Programming,Information Technology
CE404,Civil Engineering Project,Civil Engineering
CE801,Applied Mathematics,Civil Engineering
IT051,Introduction to Computers and Programming,Information Technology
CE331,Soil Mechanics,Civil Engineering
IT001,Computers for Engineers,Information Technology
ES804,Selected Topic,Civil Engineering
SC138,Fundamental Physics for Engineers I,Common Studies
CE301,Engineering Geology,Civil Engineering
CE302,Engineering Hydrology,Civil Engineering
CE343,Highway Engineering,Civil Engineering
CE362,Introduction to Photogrammetry and Remote Sensing,Civil Engineering
CE343,Traffic Engineering,Civil Engineering
CE899,Thesis,Civil Engineering
EL210,English for Engineers I,Common Studies
CE351,Concrete Technology,Civil Engineering
ITS051,Introduction to Computers and Programming,Information Technology
EPS301,Basic Electromechanical Energy Conversion I,Communications
CE311,Theory of Structures,Civil Engineering
SC126,Chemistry for Engineers,Common Studies
CE401,Soil Dynamics,Civil Engineering
IT003,Data Structures and Algorithms,Information Technology
IT006,Programming Laboratory I,Information Technology
IT010,Data Base Management Systems,Information Technology
SC176,Chemistry Laboratory,Common Studies
CE444,Hydraulic Engineering,Civil Engineering
ITS052,Computers and Programming Laboratory,Information Technology
MES412,Combustion and Emission Control,Mechanical Engineering
MES390,CLOSED,Mechanical Engineering
EVS322,Chemical Engineering Kinetics and Reactor Design,Environmental Technology
CE312,Structural Analysis,Civil Engineering
CE352,Material Testing,Civil Engineering
CE313,Concrete Engineering,Civil Engineering
MES344,Thermofluid Engineering,Mechanical Engineering
CES441,Water Supply and Sanitary Engineering,Civil Engineering
CE342,Environmental Studies,Civil Engineering
CE332,Soil and Foundation Engineering,Civil Engineering
IT011,Numerical Computation,Information Technology
SC139,Fundamental Physics for Engineers II,Common Studies
IT014,Operating System,Information Technology
CE372,Mechanics of Solids II,Civil Engineering
CE496,Water and Wastewater Engineering,Civil Engineering
CE361,Surveying,Civil Engineering
CE321,Timber and Steel Design,Civil Engineering
CE382,Hydraulics Laboratory,Civil Engineering
CE333,Soil Mechanics Laboratory,Civil Engineering
EV413,Environmental Technology Seminar,Environmental Technology
ITS019,Information Technology I,Information Technology
EPS321,Electromechanical Energy Conversion I,Communications
CE322,Reinforced Concrete Design,Civil Engineering
CE446,Port and Airport Engineering,Civil Engineering
EVS321,Unit Operations in Environmental Technology,Environmental Technology
EVS423,Pollution Control and Waste Treatment I,Environmental Technology
CE449,Tunneling and Underground Excavations,Civil Engineering
CE341,Transportation Engineering and Planning,Civil Engineering
ITS214,Artificial Intelligence,Information Technology
MES483,Dynamics Control,Mechanical Engineering
EVS424,Industrial Waste Treatment and Management,Environmental Technology
CE445,Structural Dynamics,Civil Engineering
CE403,Seminar,Civil Engineering
CE371,Mechanics of Solids I,Civil Engineering
SCS180,Physics Laboratory,Common Studies
EVS311,Industrial Hygiene Engineering,Environmental Technology
ITS013,Programming Laboratory II,Information Technology
BFS302,Computer Networking for Buildings,Building Facilities Engineering
MES342,Refrigeration and Air Conditioning,Mechanical Engineering
BFS308,Air Conditioning Systems for Buildings,Building Facilities Engineering
EMS444,Power Generation and Environment,Energy Technology
EPS441,Power System Analysis,Communications
EPS320,Electromechanical Energy Conversion Laboratory,Communications
CE492,Durability of Concrete,Civil Engineering
IES334,Industrial Robotics and Applications,Industrial  Engineering
IES362,Manufacturing Engineering Laboratory I,Industrial  Engineering
EVS422,Wastewater Engineering Design,Environmental Technology
BFS391,Building Facilities Engineering Laboratory,Building Facilities Engineering
CES393,Building Facility Engineering Laboratory,Civil Engineering
CES442,Water Supply and Sanitary Engineering Laboratory,Civil Engineering
TCS323,Physical Electronics,Communications
CE353,Construction Engineering and Management,Civil Engineering
CE414,Finite Element Methods in Engineering,Civil Engineering
CE423,Building Design,Civil Engineering
ITS032,Computer Graphics Applications,Information Technology
SC180,Physics Laboratory,Common Studies
BA291,Introduction of Business,Common Studies
EMS303,Energy Technology and Management Training,Energy Technology
CE303,Civil Engineering Training,Civil Engineering
BFS306,Building Facilities Engineering Training,Building Facilities Engineering
ES898,Master Thesis,Information Technology
ITS012,Principles of Programming Languages,Information Technology
MES301,Engineering Drawing,Mechanical Engineering
ETS312,Circuit Analysis II,Telecommunications
EPS322,Electromechanical Energy Conversion II,Communications
ITS010,Database Management Systems,Information Technology
