code,name,program
CE381,Hydraulics,CE
CE802,Advanced Researches in CE I,CE
CE805,Special Concrete Technology,CE
CE804,Advanced Structural Dynamics,CE
CE806,Advanced Soil Mechanics,CE
CE803,Advanced Researches in CE II,CE
CE404,CE Project,CE
CE801,Applied Mathematics,CE
CE331,Soil Mechanics,CE
ES804,Selected Topic,CE
CE301,Engineering Geology,CE
CE302,Engineering Hydrology,CE
CE343,Highway Engineering,CE
CE362,Introduction to Photogrammetry and Remote Sensing,CE
CE343,Traffic Engineering,CE
CE899,Thesis,CE
CE351,Concrete Technology,CE
CE311,Theory of Structures,CE
CE401,Soil Dynamics,CE
CE444,Hydraulic Engineering,CE
CE312,Structural Analysis,CE
CE352,Material Testing,CE
CE313,Concrete Engineering,CE
CES441,Water Supply and Sanitary Engineering,CE
CE342,Environmental Studies,CE
CE332,Soil and Foundation Engineering,CE
CE372,Mechanics of Solids II,CE
CE496,Water and Wastewater Engineering,CE
CE361,Surveying,CE
CE321,Timber and Steel Design,CE
CE382,Hydraulics Laboratory,CE
CE333,Soil Mechanics Laboratory,CE
CE322,Reinforced Concrete Design,CE
CE446,Port and Airport Engineering,CE
CE449,Tunneling and Underground Excavations,CE
CE341,Transportation Engineering and Planning,CE
CE445,Structural Dynamics,CE
CE403,Seminar,CE
CE371,Mechanics of Solids I,CE
CE492,Durability of Concrete,CE
CES393,Building Facility Engineering Laboratory,CE
CES442,Water Supply and Sanitary Engineering Laboratory,CE
CE353,Construction Engineering and Management,CE
CE414,Finite Element Methods in Engineering,CE
CE423,Building Design,CE
CE303,CE Training,CE
CES333,Soil Mechanics Laboratory,CE
ES898,Master Thesis,CE
ES899,Doctoral Dissertation,CE
ES803,Special Study,CE
CES301,Engineering Geology,CE
CES362,Introduction to Photogrammetry and Remote Sensing,CE
CES496,Water and Wastewater Engineering,CE
CES445,Structural Dynamics,CE
CES492,Durability of Concrete,CE
BFS391,BF Laboratory,CE
CES372,Mechanics of Solids II,CE
CES449,Tunneling and Underground Excavations,CE
CES425,Construction Methods and Technologies,CE
CES313,Concrete Engineering,CE
CES332,Soil and Foundation Engineering,CE
CES424,Bridge Engineering,CE
CES304,Engineering Geology,CE
CES404,CE Project,CE
CES446,Port and Airport Engineering,CE
CES371,Mechanics of Solids I,CE
CES351,Concrete Technology,CE
CES322,Reinforced Concrete Design,CE
CES406,Special Study in CE II,CE
CES321,Timber and Steel Design,CE
CES323,Advanced Structural Concrete Design,CE
CES392,Special Topics in CE II,CE
CES405,Special Study in CE I,CE
CES407,Senior Project,CE
CES408,Extended CE Training,CE
CES406,Special Studies in CE II,CE
CES494,Coastal Engineering,CE
CES426,Durability of Concrete Structures,CE
CES303,CE Training,CE
CES362,Field Surveying Camp,CE
CES341,Transportation Engineering and Planning,CE
CES381,Hydraulics,CE
CES382,Hydraulics Laboratory,CE
CES311,Theory of Structures,CE
CES331,Soil Mechanics,CE
CES403,Seminar,CE
CES353,Construction Engineering and Management,CE
CES414,Finite Element Methods in Engineering,CE
CES423,Building Design,CE
CES450,Urban Engineering,CE
CES201,Engineering Materials,CE
CES202,Introduction to Building Facilities,CE
CES361,Surveying,CE
CES302,Engineering Hydrology,CE
CES343,Highway Engineering,CE
CES312,Structural Analysis,CE
CES352,Material Testing,CE
CES370,Mechanics of Materials,CE
CES444,Hydraulic Engineering,CE
CES215,Applied Mathematics in CE,CE
CES315,Computational Methods in CE,CE
CES391,Special Topics in CE I,CE
CES332,Foundation Engineering,CE
CES407,CE Project,CE
CES405,Special Studies in CE I,CE
SC140P,Pre-Mathematics and Sciences,CGS
SC138,Fundamental Physics for Engineers I,CGS
EL210,English for Engineers I,CGS
